source,target,value,link_type
Phicom,Semiconductor,180,Company-Field
Phicom,Display,90,Company-Field
Phicom,LED,30,Company-Field
Phicom,PlasticsElectrodevice,30,Company-Field
Phicom,Jobshop,600,Company-Field
Phicom,ETC,395,Company-Field
Cymer,Semiconductor,403,Company-Field
RorzeSystems,Glass,440,Company-Field
RorzeSystems,Display,730,Company-Field
RorzeSystems,SolarCell,30,Company-Field
RorzeSystems,ETC,267,Company-Field
APSystems,Semiconductor,1305,Company-Field
APSystems,Display,540,Company-Field
APSystems,LED,180,Company-Field
APSystems,SolarCell,45,Company-Field
APSystems,Glass,120,Company-Field
APSystems,PlasticsElectrodevice,180,Company-Field
APSystems,Battery,90,Company-Field
APSystems,ETC,168,Company-Field
Rays,SolarCell,60,Company-Field
Rays,PlasticsElectrodevice,155,Company-Field
Rays,ETC,120,Company-Field
QMC,LED,365,Company-Field
QMC,PlasticsElectrodevice,30,Company-Field
QMC,ETC,21,Company-Field
DE&T,Display,150,Company-Field
GreenOptics,Defense,179,Company-Field
GreenOptics,ETC,30,Company-Field
CowinDST,Display,3,Company-Field
CowinDST,SolarCell,14,Company-Field
CowinDST,Defense,7,Company-Field
CowinDST,ETC,14,Company-Field
SAT,Semiconductor,45,Company-Field
SAT,Display,106,Company-Field
SAT,ETC,45,Company-Field
Semiconductor,ProcessDevelopment,407,Field-Role
Semiconductor,OpticalSystem,180,Field-Role
Semiconductor,LaserSystem,180,Field-Role
Semiconductor,VisionSystem,45,Field-Role
Semiconductor,SystemIntegration,90,Field-Role
Semiconductor,TechnicalSupport,150,Field-Role
Semiconductor,TechnicalSales,180,Field-Role
Semiconductor,TechnicalPlanning,180,Field-Role
Semiconductor,CustomerService,426,Field-Role
Semiconductor,ExternalCooperation,132,Field-Role
Semiconductor,SW,23,Field-Role
Display,ProcessDevelopment,570,Field-Role
Display,OpticalSystem,60,Field-Role
Display,LaserSystem,30,Field-Role
Display,VisionSystem,54,Field-Role
Display,SystemIntegration,90,Field-Role
Display,TechnicalSupport,215,Field-Role
Display,TechnicalSales,90,Field-Role
Display,TechnicalPlanning,180,Field-Role
Display,CustomerService,120,Field-Role
Display,ExternalCooperation,180,Field-Role
Display,SW,60,Field-Role
LED,ProcessDevelopment,106,Field-Role
LED,OpticalSystem,90,Field-Role
LED,LaserSystem,30,Field-Role
LED,VisionSystem,7,Field-Role
LED,SystemIntegration,90,Field-Role
LED,TechnicalSupport,90,Field-Role
LED,TechnicalSales,60,Field-Role
LED,TechnicalPlanning,60,Field-Role
LED,ExternalCooperation,28,Field-Role
LED,SW,14,Field-Role
SolarCell,ProcessDevelopment,30,Field-Role
SolarCell,SystemIntegration,35,Field-Role
SolarCell,TechnicalSupport,14,Field-Role
SolarCell,TechnicalSales,36,Field-Role
SolarCell,TechnicalPlanning,20,Field-Role
SolarCell,ExternalCooperation,14,Field-Role
Defense,OpticalSystem,60,Field-Role
Defense,LaserSystem,21,Field-Role
Defense,VisionSystem,7,Field-Role
Defense,SystemIntegration,14,Field-Role
Defense,TechnicalSupport,45,Field-Role
Defense,TechnicalSales,28,Field-Role
Defense,ExternalCooperation,11,Field-Role
Glass,ProcessDevelopment,238,Field-Role
Glass,OpticalSystem,60,Field-Role
Glass,LaserSystem,21,Field-Role
Glass,TechnicalSupport,36,Field-Role
Glass,TechnicalSales,30,Field-Role
Glass,TechnicalPlanning,36,Field-Role
Glass,ExternalCooperation,28,Field-Role
PlasticsElectrodevice,ProcessDevelopment,90,Field-Role
PlasticsElectrodevice,OpticalSystem,60,Field-Role
PlasticsElectrodevice,LaserSystem,14,Field-Role
PlasticsElectrodevice,VisionSystem,14,Field-Role
PlasticsElectrodevice,TechnicalSupport,30,Field-Role
PlasticsElectrodevice,TechnicalSales,66,Field-Role
PlasticsElectrodevice,TechnicalPlanning,60,Field-Role
PlasticsElectrodevice,CustomerService,90,Field-Role
PlasticsElectrodevice,ExternalCooperation,54,Field-Role
PlasticsElectrodevice,SW,7,Field-Role
Battery,OpticalSystem,14,Field-Role
Battery,VisionSystem,7,Field-Role
Battery,TechnicalSupport,7,Field-Role
Battery,TechnicalSales,14,Field-Role
Battery,TechnicalPlanning,29,Field-Role
Battery,ExternalCooperation,14,Field-Role
Battery,SW,5,Field-Role
Jobshop,ProcessDevelopment,210,Field-Role
Jobshop,OpticalSystem,90,Field-Role
Jobshop,LaserSystem,115,Field-Role
Jobshop,VisionSystem,14,Field-Role
Jobshop,TechnicalSales,90,Field-Role
Jobshop,TechnicalPlanning,45,Field-Role
Jobshop,ExternalCooperation,36,Field-Role
ETC,ProcessDevelopment,394,Field-Role
ETC,OpticalSystem,88,Field-Role
ETC,LaserSystem,77,Field-Role
ETC,VisionSystem,2,Field-Role
ETC,TechnicalSupport,329,Field-Role
ETC,TechnicalSales,88,Field-Role
ETC,TechnicalPlanning,80,Field-Role
ETC,ExternalCooperation,2,Field-Role
ProcessDevelopment,Phicom,895,Role-Company
OpticalSystem,Phicom,60,Role-Company
LaserSystem,Phicom,195,Role-Company
CustomerService,Phicom,15,Role-Company
SW,Phicom,60,Role-Company
ProcessDevelopment,Cymer,0,Role-Company
OpticalSystem,Cymer,0,Role-Company
LaserSystem,Cymer,49,Role-Company
CustomerService,Cymer,354,Role-Company
ProcessDevelopment,RorzeSystems,560,Role-Company
OpticalSystem,RorzeSystems,121,Role-Company
LaserSystem,RorzeSystems,45,Role-Company
SystemIntegration,RorzeSystems,150,Role-Company
TechnicalSupport,RorzeSystems,180,Role-Company
TechnicalSales,RorzeSystems,120,Role-Company
TechnicalPlanning,RorzeSystems,90,Role-Company
CustomerService,RorzeSystems,120,Role-Company
ExternalCooperation,RorzeSystems,60,Role-Company
SW,RorzeSystems,21,Role-Company
ProcessDevelopment,APSystems,500,Role-Company
OpticalSystem,APSystems,360,Role-Company
LaserSystem,APSystems,171,Role-Company
VisionSystem,APSystems,105,Role-Company
SystemIntegration,APSystems,90,Role-Company
TechnicalSupport,APSystems,316,Role-Company
TechnicalSales,APSystems,240,Role-Company
TechnicalPlanning,APSystems,360,Role-Company
CustomerService,APSystems,147,Role-Company
ExternalCooperation,APSystems,311,Role-Company
SW,APSystems,28,Role-Company
ProcessDevelopment,Rays,45,Role-Company
OpticalSystem,Rays,125,Role-Company
VisionSystem,Rays,105,Role-Company
TechnicalSupport,Rays,30,Role-Company
TechnicalSales,Rays,60,Role-Company
TechnicalPlanning,Rays,45,Role-Company
ExternalCooperation,Rays,15,Role-Company
ProcessDevelopment,QMC,45,Role-Company
LaserSystem,QMC,21,Role-Company
SystemIntegration,QMC,30,Role-Company
TechnicalSupport,QMC,190,Role-Company
TechnicalSales,QMC,105,Role-Company
TechnicalPlanning,QMC,45,Role-Company
ExternalCooperation,QMC,60,Role-Company
OpticalSystem,DE&T,15,Role-Company
TechnicalSales,DE&T,120,Role-Company
TechnicalSupport,GreenOptics,90,Role-Company
TechnicalPlanning,GreenOptics,60,Role-Company
ExternalCooperation,GreenOptics,32,Role-Company
TechnicalSupport,CowinDST,85,Role-Company
TechnicalPlanning,CowinDST,21,Role-Company
ExternalCooperation,CowinDST,7,Role-Company
TechnicalSales,SAT,7,Role-Company
TechnicalPlanning,SAT,69,Role-Company
ExternalCooperation,SAT,14,Role-Company